;massa_A;
t;x;y
23.060;-2.568E-3;7.259E-2
23.093;2.664E-2;7.267E-2
23.126;5.271E-2;7.269E-2
23.160;7.499E-2;7.448E-2
23.193;0.101;7.469E-2
23.226;0.130;7.528E-2
23.260;0.153;7.965E-2
23.293;0.173;8.183E-2
23.326;0.194;8.316E-2
23.360;0.215;8.764E-2
23.393;0.233;9.002E-2
23.426;0.249;9.206E-2
23.460;0.264;9.563E-2
23.493;0.278;9.709E-2
23.526;0.285;9.754E-2
23.560;0.289;9.989E-2
23.593;0.295;0.102
23.626;0.300;0.102
23.660;0.301;0.102
23.693;0.299;0.102
23.726;0.294;0.101
23.760;0.286;0.100
23.793;0.276;9.690E-2
23.826;0.264;9.410E-2
23.860;0.254;9.411E-2
23.893;0.240;9.166E-2
23.926;0.222;8.731E-2
23.960;0.200;8.580E-2
23.993;0.179;8.248E-2
24.026;0.158;7.828E-2
24.060;0.136;7.633E-2
24.093;0.112;7.532E-2
24.126;8.975E-2;7.477E-2
24.160;6.629E-2;7.374E-2
24.193;3.839E-2;7.251E-2
24.226;1.006E-2;7.144E-2
24.259;-1.521E-2;7.270E-2
24.293;-3.684E-2;7.548E-2
24.326;-5.992E-2;7.743E-2
24.359;-8.125E-2;8.042E-2
24.393;-0.103;8.214E-2
24.426;-0.126;8.320E-2
24.459;-0.149;8.764E-2
24.493;-0.165;9.170E-2
24.526;-0.175;9.241E-2
24.559;-0.187;9.251E-2
24.593;-0.202;9.547E-2
24.626;-0.214;9.981E-2
24.659;-0.223;0.102
24.693;-0.227;0.102
24.726;-0.229;0.102
24.759;-0.228;0.102
24.793;-0.223;0.101
24.826;-0.221;0.102
24.859;-0.219;0.102
24.893;-0.214;9.898E-2
24.926;-0.201;9.665E-2
24.959;-0.183;9.289E-2
24.993;-0.167;9.030E-2
25.026;-0.153;8.971E-2
25.059;-0.137;8.595E-2
25.093;-0.121;8.256E-2
25.126;-0.101;8.212E-2
25.159;-7.846E-2;7.972E-2
25.192;-5.326E-2;7.540E-2
25.226;-2.728E-2;7.361E-2
25.259;-4.627E-3;7.213E-2
25.292;1.750E-2;7.192E-2
25.326;3.909E-2;7.255E-2
25.359;6.267E-2;7.260E-2
25.392;8.864E-2;7.308E-2
25.426;0.115;7.515E-2
25.459;0.139;7.645E-2
25.492;0.156;7.917E-2
25.526;0.172;8.175E-2
25.559;0.189;8.243E-2
25.592;0.207;8.507E-2
25.626;0.226;8.985E-2
25.659;0.241;9.239E-2
25.692;0.253;9.237E-2
25.726;0.260;9.319E-2
25.759;0.263;9.402E-2
25.792;0.267;9.568E-2
25.826;0.273;9.809E-2
25.859;0.280;9.737E-2
25.892;0.279;9.537E-2
25.926;0.273;9.528E-2
25.959;0.266;9.485E-2
25.992;0.260;9.438E-2
26.026;0.252;9.351E-2
26.059;0.244;9.077E-2
26.092;0.235;8.653E-2
26.126;0.219;8.691E-2
26.159;0.200;8.645E-2
26.192;0.181;8.215E-2
26.225;0.165;7.984E-2
26.259;0.147;7.527E-2
26.292;0.127;7.405E-2
26.325;0.104;7.520E-2
26.359;8.261E-2;7.537E-2
26.392;5.827E-2;7.274E-2
26.425;3.307E-2;7.124E-2
26.459;1.033E-2;7.022E-2
26.492;-1.088E-2;7.257E-2
26.525;-3.230E-2;7.722E-2
26.559;-5.397E-2;7.810E-2
26.592;-7.399E-2;7.635E-2
26.625;-9.423E-2;7.802E-2
26.659;-0.115;8.375E-2
26.692;-0.134;8.744E-2
26.725;-0.149;8.882E-2
26.759;-0.158;8.898E-2
26.792;-0.170;8.910E-2
26.825;-0.182;9.199E-2
26.859;-0.193;9.680E-2
26.892;-0.199;9.995E-2
26.925;-0.206;9.870E-2
26.959;-0.208;9.643E-2
26.992;-0.205;9.693E-2
27.025;-0.200;9.868E-2
27.059;-0.196;9.959E-2
27.092;-0.194;9.678E-2
27.125;-0.186;9.266E-2
27.159;-0.174;9.102E-2
27.192;-0.161;9.127E-2
27.225;-0.147;8.985E-2
27.258;-0.131;8.597E-2
27.292;-0.115;8.324E-2
27.325;-0.100;8.036E-2
27.358;-8.346E-2;7.919E-2
27.392;-6.156E-2;7.975E-2
27.425;-3.710E-2;7.676E-2
27.458;-1.486E-2;7.280E-2
27.492;6.695E-3;7.157E-2
27.525;2.644E-2;7.277E-2
27.558;4.643E-2;7.481E-2
27.592;6.636E-2;7.482E-2
27.625;9.089E-2;7.416E-2
27.658;0.116;7.453E-2
27.692;0.138;7.690E-2
27.725;0.151;8.085E-2
27.758;0.163;8.144E-2
27.792;0.179;8.176E-2
27.825;0.196;8.359E-2
27.858;0.212;8.632E-2
27.892;0.225;8.981E-2
27.925;0.234;9.287E-2
27.958;0.240;9.197E-2
27.992;0.242;8.917E-2
28.025;0.244;9.120E-2
28.058;0.250;9.350E-2
28.092;0.253;9.447E-2
28.125;0.250;9.408E-2
28.158;0.243;9.068E-2
28.191;0.234;8.816E-2
28.225;0.226;8.933E-2
28.258;0.216;8.850E-2
28.291;0.206;8.698E-2
28.325;0.197;8.482E-2
28.358;0.183;8.071E-2
28.391;0.164;7.888E-2
28.425;0.144;7.885E-2
28.458;0.125;7.780E-2
28.491;0.110;7.524E-2
28.525;9.342E-2;7.322E-2
28.558;7.446E-2;7.274E-2
28.591;5.408E-2;7.328E-2
28.625;3.021E-2;7.275E-2
28.658;6.140E-3;7.221E-2
28.691;-1.525E-2;7.264E-2
28.725;-3.124E-2;7.461E-2
28.758;-4.554E-2;7.532E-2
28.791;-6.183E-2;7.865E-2
28.825;-8.276E-2;8.010E-2
28.858;-0.104;8.079E-2
28.891;-0.121;8.319E-2
28.925;-0.132;8.563E-2
28.958;-0.141;8.665E-2
28.991;-0.148;8.827E-2
29.025;-0.157;8.771E-2
29.058;-0.168;8.848E-2
29.091;-0.178;9.158E-2
29.125;-0.182;9.237E-2
29.158;-0.181;9.176E-2
29.191;-0.178;9.215E-2
29.224;-0.177;9.167E-2
29.258;-0.177;9.159E-2
29.291;-0.175;9.242E-2
29.324;-0.171;9.185E-2
29.358;-0.163;8.968E-2
29.391;-0.151;8.804E-2
29.424;-0.138;8.504E-2
29.458;-0.127;8.426E-2
29.491;-0.115;8.452E-2
29.524;-0.103;8.218E-2
29.558;-8.775E-2;7.931E-2
29.591;-6.904E-2;7.819E-2
29.624;-4.935E-2;7.550E-2
29.658;-2.907E-2;7.447E-2
29.691;-1.015E-2;7.398E-2
29.724;7.455E-3;7.263E-2
29.758;2.343E-2;7.220E-2
29.791;4.160E-2;7.257E-2
29.824;6.387E-2;7.287E-2
29.858;8.562E-2;7.474E-2
29.891;0.106;7.514E-2
29.924;0.123;7.496E-2
29.958;0.137;7.700E-2
29.991;0.148;7.948E-2
30.024;0.161;7.957E-2
30.058;0.178;8.182E-2
30.091;0.194;8.498E-2
30.124;0.205;8.528E-2
30.157;0.211;8.569E-2
30.191;0.215;8.886E-2
30.224;0.216;8.747E-2
30.257;0.219;8.708E-2
30.291;0.224;9.021E-2
30.324;0.227;8.993E-2
30.357;0.227;8.883E-2
30.391;0.221;8.933E-2
30.424;0.212;8.633E-2
30.457;0.203;8.438E-2
30.491;0.195;8.595E-2
30.524;0.188;8.356E-2
30.557;0.179;8.148E-2
30.591;0.168;8.183E-2
30.624;0.151;7.832E-2
30.657;0.132;7.505E-2
30.691;0.114;7.652E-2
30.724;0.103;7.629E-2
30.757;8.952E-2;7.445E-2
30.791;7.346E-2;7.455E-2
30.824;5.380E-2;7.364E-2
30.857;3.134E-2;7.250E-2
30.891;1.039E-2;7.284E-2
30.924;-7.702E-3;7.461E-2
30.957;-1.990E-2;7.489E-2
30.991;-3.155E-2;7.535E-2
31.024;-4.685E-2;7.590E-2
31.057;-6.607E-2;7.766E-2
31.091;-8.590E-2;8.027E-2
31.124;-0.102;8.267E-2
31.157;-0.112;8.303E-2
31.190;-0.118;8.257E-2
